,0,1,2,3,4,5,6,7,8,9
0,60.0,70.0,70.0,70.0,70.0,80.0,60.0,70.0,70.0,80.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,70.0,70.0,50.0,60.0,70.0,80.0,40.0,60.0,70.0,80.0
3,70.0,70.0,70.0,70.0,70.0,50.0,70.0,60.0,70.0,60.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,80.0,70.0,80.0,80.0,80.0,70.0,70.0,80.0,80.0,90.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50.0,30.0,30.0,90.0,90.0,0.0,60.0,30.0,70.0,0.0
