,run,generation,mean_fitness,max_fitness,standard_deviation,mean_player_life,mean_enemy_life,mean_beat,max_beat
0,0,0,4.923040455816068,78.73302167993002,18.71971221981693,14.516000000000076,89.66666666666666,0.12,2.0
1,0,1,22.297961321847907,82.81007553087431,25.928151685371947,15.201333333333396,70.6,0.4,2.0
2,0,2,31.046653171046717,82.81007553087431,23.68186700536151,13.146666666666727,60.66666666666666,0.54,2.0
3,0,3,47.1379583277315,82.88624903636155,18.788106599290096,14.992000000000061,43.06666666666666,0.88,2.0
4,0,4,49.059228821801675,82.88624903636155,17.54554097054423,17.730666666666732,41.26666666666666,0.98,2.0
5,0,5,52.54892504588629,83.23925829532779,17.80928460982648,19.8413333333334,37.66666666666667,1.14,2.0
6,0,6,54.9792295381591,83.23925829532779,17.462322572207995,22.304000000000077,35.266666666666666,1.26,2.0
7,0,7,55.277532382058126,83.23925829532779,17.106085714874673,22.504000000000065,34.93333333333333,1.26,2.0
8,0,8,56.188291473196344,83.23925829532779,17.274428193899304,23.196000000000062,34.0,1.28,2.0
9,0,9,56.20974324930703,83.23925829532779,17.388807895958795,24.317333333333398,34.13333333333333,1.26,2.0
10,0,10,57.131269172769,83.23925829532779,17.087418642174224,25.882666666666736,33.266666666666666,1.28,2.0
11,0,11,58.667399640958706,83.23925829532779,16.558178238870685,27.60800000000007,31.733333333333334,1.34,2.0
12,0,12,58.21805765334541,86.07402650422175,17.52053713542174,28.226666666666738,32.333333333333336,1.34,2.0
13,0,13,58.794556861223754,86.07402650422175,17.237988633543583,28.70266666666674,31.733333333333334,1.38,2.0
14,0,14,58.94529285482781,86.07402650422175,17.045238447839402,28.966666666666733,31.6,1.38,2.0
15,0,15,59.74710169025723,86.07402650422175,16.34643314917909,28.7293333333334,30.666666666666664,1.38,2.0
16,0,16,61.82660691585879,86.07402650422175,15.720961002331295,29.241333333333404,28.4,1.4,2.0
17,0,17,63.711201236300234,86.07402650422175,15.784526483899278,30.11733333333341,26.4,1.44,2.0
18,0,18,62.49200614371816,86.07402650422175,16.089266948111483,29.07200000000007,27.66666666666667,1.4,2.0
